2025-03-13 22:54:57.618594: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2025-03-13 22:54:57.632773: E external/local_xla/xla/stream_executor/cuda/cuda_fft.cc:477] Unable to register cuFFT factory: Attempting to register factory for plugin cuFFT when one has already been registered
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
E0000 00:00:1741920897.649922 2251596 cuda_dnn.cc:8310] Unable to register cuDNN factory: Attempting to register factory for plugin cuDNN when one has already been registered
E0000 00:00:1741920897.655191 2251596 cuda_blas.cc:1418] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered
2025-03-13 22:54:57.673377: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F AVX512_VNNI FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.

  0%|          | 0/10000 [00:00<?, ?it/s]
Episode 16 | Reward: -2612.30 | NumTasksFinishe: 64.0 | Checkpoint: SAC_A**20_1e-4Long:   0%|          | 15/10000 [03:55<51:19:31, 18.50s/it]
Episode 16 | Reward: -2612.30 | NumTasksFinishe: 64.0 | Checkpoint: SAC_A**20_1e-4Long:   0%|          | 16/10000 [03:55<53:11:04, 19.18s/it]
Episode 17 | Reward: -2620.66 | NumTasksFinishe: 71.0 | Checkpoint: SAC_A**20_1e-4Long:   0%|          | 16/10000 [04:15<53:11:04, 19.18s/it]
Episode 17 | Reward: -2620.66 | NumTasksFinishe: 71.0 | Checkpoint: SAC_A**20_1e-4Long:   0%|          | 17/10000 [04:15<54:12:38, 19.55s/it]
Episode 18 | Reward: -3364.86 | NumTasksFinishe: 68.0 | Checkpoint: SAC_A**20_1e-4Long:   0%|          | 17/10000 [04:37<54:12:38, 19.55s/it]
Episode 18 | Reward: -3364.86 | NumTasksFinishe: 68.0 | Checkpoint: SAC_A**20_1e-4Long:   0%|          | 18/10000 [04:37<55:34:48, 20.04s/it]
Episode 19 | Reward: -2455.53 | NumTasksFinishe: 63.0 | Checkpoint: SAC_A**20_1e-4Long:   0%|          | 18/10000 [04:57<55:34:48, 20.04s/it]
Episode 19 | Reward: -2455.53 | NumTasksFinishe: 63.0 | Checkpoint: SAC_A**20_1e-4Long:   0%|          | 19/10000 [04:57<55:38:20, 20.07s/it]
Episode 20 | Reward: -2140.28 | NumTasksFinishe: 64.0 | Checkpoint: SAC_A**20_1e-4Long:   0%|          | 19/10000 [05:17<55:38:20, 20.07s/it]
Episode 20 | Reward: -2140.28 | NumTasksFinishe: 64.0 | Checkpoint: SAC_A**20_1e-4Long:   0%|          | 20/10000 [05:17<56:07:12, 20.24s/it]
Episode 21 | Reward: -1942.65 | NumTasksFinishe: 65.0 | Checkpoint: SAC_A**20_1e-4Long:   0%|          | 20/10000 [05:38<56:07:12, 20.24s/it]
Episode 21 | Reward: -1942.65 | NumTasksFinishe: 65.0 | Checkpoint: SAC_A**20_1e-4Long:   0%|          | 21/10000 [05:38<56:16:47, 20.30s/it]
Episode 22 | Reward: -2034.88 | NumTasksFinishe: 63.0 | Checkpoint: SAC_A**20_1e-4Long:   0%|          | 21/10000 [05:58<56:16:47, 20.30s/it]
Episode 22 | Reward: -2034.88 | NumTasksFinishe: 63.0 | Checkpoint: SAC_A**20_1e-4Long:   0%|          | 22/10000 [05:58<56:08:05, 20.25s/it]
Episode 23 | Reward: -1981.11 | NumTasksFinishe: 60.0 | Checkpoint: SAC_A**20_1e-4Long:   0%|          | 22/10000 [06:19<56:08:05, 20.25s/it]
