2025-03-13 22:53:45.465555: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2025-03-13 22:53:45.480127: E external/local_xla/xla/stream_executor/cuda/cuda_fft.cc:477] Unable to register cuFFT factory: Attempting to register factory for plugin cuFFT when one has already been registered
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
E0000 00:00:1741920825.496907 2250673 cuda_dnn.cc:8310] Unable to register cuDNN factory: Attempting to register factory for plugin cuDNN when one has already been registered
E0000 00:00:1741920825.502257 2250673 cuda_blas.cc:1418] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered
2025-03-13 22:53:45.520695: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F AVX512_VNNI FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.

  0%|          | 0/5000 [00:00<?, ?it/s]
Episode 16 | Reward: 559.09 | NumTasksFinishe: 65.0 | Checkpoint: SAC_A**20_5000long:   0%|          | 16/5000 [03:50<25:54:50, 18.72s/it]
Episode 17 | Reward: 505.88 | NumTasksFinishe: 63.0 | Checkpoint: SAC_A**20_5000long:   0%|          | 16/5000 [04:11<25:54:50, 18.72s/it]
Episode 17 | Reward: 505.88 | NumTasksFinishe: 63.0 | Checkpoint: SAC_A**20_5000long:   0%|          | 17/5000 [04:11<26:46:38, 19.35s/it]
Episode 18 | Reward: 572.05 | NumTasksFinishe: 66.0 | Checkpoint: SAC_A**20_5000long:   0%|          | 17/5000 [04:32<26:46:38, 19.35s/it]
Episode 18 | Reward: 572.05 | NumTasksFinishe: 66.0 | Checkpoint: SAC_A**20_5000long:   0%|          | 18/5000 [04:32<27:16:45, 19.71s/it]
Episode 19 | Reward: 464.19 | NumTasksFinishe: 59.0 | Checkpoint: SAC_A**20_5000long:   0%|          | 18/5000 [04:52<27:16:45, 19.71s/it]
Episode 19 | Reward: 464.19 | NumTasksFinishe: 59.0 | Checkpoint: SAC_A**20_5000long:   0%|          | 19/5000 [04:52<27:30:35, 19.88s/it]
Episode 20 | Reward: 499.74 | NumTasksFinishe: 62.0 | Checkpoint: SAC_A**20_5000long:   0%|          | 19/5000 [05:13<27:30:35, 19.88s/it]
Episode 20 | Reward: 499.74 | NumTasksFinishe: 62.0 | Checkpoint: SAC_A**20_5000long:   0%|          | 20/5000 [05:13<27:48:18, 20.10s/it]
Episode 21 | Reward: 484.54 | NumTasksFinishe: 60.0 | Checkpoint: SAC_A**20_5000long:   0%|          | 20/5000 [05:33<27:48:18, 20.10s/it]
Episode 21 | Reward: 484.54 | NumTasksFinishe: 60.0 | Checkpoint: SAC_A**20_5000long:   0%|          | 21/5000 [05:33<28:04:13, 20.30s/it]
Episode 22 | Reward: 541.55 | NumTasksFinishe: 66.0 | Checkpoint: SAC_A**20_5000long:   0%|          | 21/5000 [05:54<28:04:13, 20.30s/it]
Episode 22 | Reward: 541.55 | NumTasksFinishe: 66.0 | Checkpoint: SAC_A**20_5000long:   0%|          | 22/5000 [05:54<28:11:56, 20.39s/it]
Episode 23 | Reward: 548.33 | NumTasksFinishe: 67.0 | Checkpoint: SAC_A**20_5000long:   0%|          | 22/5000 [06:15<28:11:56, 20.39s/it]
Episode 23 | Reward: 548.33 | NumTasksFinishe: 67.0 | Checkpoint: SAC_A**20_5000long:   0%|          | 23/5000 [06:15<28:15:20, 20.44s/it]
Episode 24 | Reward: 471.45 | NumTasksFinishe: 58.0 | Checkpoint: SAC_A**20_5000long:   0%|          | 23/5000 [06:35<28:15:20, 20.44s/it]
Episode 24 | Reward: 471.45 | NumTasksFinishe: 58.0 | Checkpoint: SAC_A**20_5000long:   0%|          | 24/5000 [06:35<28:10:01, 20.38s/it]
Episode 25 | Reward: 543.58 | NumTasksFinishe: 57.0 | Checkpoint: SAC_A**20_5000long:   0%|          | 24/5000 [06:55<28:10:01, 20.38s/it]
Episode 25 | Reward: 543.58 | NumTasksFinishe: 57.0 | Checkpoint: SAC_A**20_5000long:   0%|          | 25/5000 [06:55<28:13:17, 20.42s/it]
