wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Currently logged in as: johannes-gaber (johannesg98) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.19.7
wandb: Run data is saved locally in /mnt/home/jgaber/LORR24_johannesg98/wandb/run-20250519_225300-1eclkipx
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run GPU_TransformerConvDouble_backtrack20_NoWait
wandb: ⭐️ View project at https://wandb.ai/johannesg98/warehouse_8x6_ag200
wandb: 🚀 View run at https://wandb.ai/johannesg98/warehouse_8x6_ag200/runs/1eclkipx

  0%|          | 0/10000 [00:00<?, ?it/s]
Episode 1 | Reward: 361260.00 | NumTasksFinishe: 231.0 | Checkpoint: GPU_TransformerConvDouble_backtrack20_NoWait:   0%|          | 0/10000 [00:31<?, ?it/s]/mnt/home/jgaber/miniconda3/envs/myenv/lib/python3.12/site-packages/numpy/core/fromnumeric.py:3504: RuntimeWarning: Mean of empty slice.
  return _methods._mean(a, axis=axis, dtype=dtype,
/mnt/home/jgaber/miniconda3/envs/myenv/lib/python3.12/site-packages/numpy/core/_methods.py:129: RuntimeWarning: invalid value encountered in scalar divide
  ret = ret.dtype.type(ret / rcount)

Episode 1 | Reward: 361260.00 | NumTasksFinishe: 231.0 | Checkpoint: GPU_TransformerConvDouble_backtrack20_NoWait:   0%|          | 1/10000 [01:04<178:27:33, 64.25s/it]
Episode 2 | Reward: 351780.00 | NumTasksFinishe: 230.0 | Checkpoint: GPU_TransformerConvDouble_backtrack20_NoWait:   0%|          | 1/10000 [01:34<178:27:33, 64.25s/it]
Episode 2 | Reward: 351780.00 | NumTasksFinishe: 230.0 | Checkpoint: GPU_TransformerConvDouble_backtrack20_NoWait:   0%|          | 2/10000 [01:34<123:15:18, 44.38s/it]
Episode 3 | Reward: 332100.00 | NumTasksFinishe: 233.0 | Checkpoint: GPU_TransformerConvDouble_backtrack20_NoWait:   0%|          | 2/10000 [02:04<123:15:18, 44.38s/it]
Episode 3 | Reward: 332100.00 | NumTasksFinishe: 233.0 | Checkpoint: GPU_TransformerConvDouble_backtrack20_NoWait:   0%|          | 3/10000 [02:04<105:15:51, 37.91s/it]
Episode 4 | Reward: 330740.00 | NumTasksFinishe: 227.0 | Checkpoint: GPU_TransformerConvDouble_backtrack20_NoWait:   0%|          | 3/10000 [02:35<105:15:51, 37.91s/it]
Episode 4 | Reward: 330740.00 | NumTasksFinishe: 227.0 | Checkpoint: GPU_TransformerConvDouble_backtrack20_NoWait:   0%|          | 4/10000 [02:35<97:24:45, 35.08s/it] 
Episode 5 | Reward: 328600.00 | NumTasksFinishe: 208.0 | Checkpoint: GPU_TransformerConvDouble_backtrack20_NoWait:   0%|          | 4/10000 [03:05<97:24:45, 35.08s/it]
Episode 5 | Reward: 328600.00 | NumTasksFinishe: 208.0 | Checkpoint: GPU_TransformerConvDouble_backtrack20_NoWait:   0%|          | 5/10000 [03:05<92:14:51, 33.23s/it]
Episode 6 | Reward: 316240.00 | NumTasksFinishe: 220.0 | Checkpoint: GPU_TransformerConvDouble_backtrack20_NoWait:   0%|          | 5/10000 [03:35<92:14:51, 33.23s/it]
Episode 6 | Reward: 316240.00 | NumTasksFinishe: 220.0 | Checkpoint: GPU_TransformerConvDouble_backtrack20_NoWait:   0%|          | 6/10000 [03:35<89:03:37, 32.08s/it]
Episode 7 | Reward: 355960.00 | NumTasksFinishe: 252.0 | Checkpoint: GPU_TransformerConvDouble_backtrack20_NoWait:   0%|          | 6/10000 [04:05<89:03:37, 32.08s/it]
Episode 7 | Reward: 355960.00 | NumTasksFinishe: 252.0 | Checkpoint: GPU_TransformerConvDouble_backtrack20_NoWait:   0%|          | 7/10000 [04:05<87:15:11, 31.43s/it]
Episode 8 | Reward: 326220.00 | NumTasksFinishe: 230.0 | Checkpoint: GPU_TransformerConvDouble_backtrack20_NoWait:   0%|          | 7/10000 [04:36<87:15:11, 31.43s/it]
Episode 8 | Reward: 326220.00 | NumTasksFinishe: 230.0 | Checkpoint: GPU_TransformerConvDouble_backtrack20_NoWait:   0%|          | 8/10000 [04:36<86:38:08, 31.21s/it]
Episode 9 | Reward: 348520.00 | NumTasksFinishe: 240.0 | Checkpoint: GPU_TransformerConvDouble_backtrack20_NoWait:   0%|          | 8/10000 [05:06<86:38:08, 31.21s/it]
Episode 9 | Reward: 348520.00 | NumTasksFinishe: 240.0 | Checkpoint: GPU_TransformerConvDouble_backtrack20_NoWait:   0%|          | 9/10000 [05:06<85:25:19, 30.78s/it]
Episode 10 | Reward: 337840.00 | NumTasksFinishe: 216.0 | Checkpoint: GPU_TransformerConvDouble_backtrack20_NoWait:   0%|          | 9/10000 [05:36<85:25:19, 30.78s/it]
Episode 10 | Reward: 337840.00 | NumTasksFinishe: 216.0 | Checkpoint: GPU_TransformerConvDouble_backtrack20_NoWait:   0%|          | 10/10000 [05:36<85:13:18, 30.71s/it]
Episode 11 | Reward: 347100.00 | NumTasksFinishe: 268.0 | Checkpoint: GPU_TransformerConvDouble_backtrack20_NoWait:   0%|          | 10/10000 [06:08<85:13:18, 30.71s/it]
Episode 11 | Reward: 347100.00 | NumTasksFinishe: 268.0 | Checkpoint: GPU_TransformerConvDouble_backtrack20_NoWait:   0%|          | 11/10000 [06:08<86:10:34, 31.06s/it]
Episode 12 | Reward: 342820.00 | NumTasksFinishe: 244.0 | Checkpoint: GPU_TransformerConvDouble_backtrack20_NoWait:   0%|          | 11/10000 [06:56<86:10:34, 31.06s/it]
