wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Currently logged in as: johannes-gaber (johannesg98) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.19.7
wandb: Run data is saved locally in /mnt/home/jgaber/LORR24_johannesg98/wandb/run-20250522_014454-kzhwiotv
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run CPU_TransformerConv_DividedTime_noDummy_markov
wandb: ⭐️ View project at https://wandb.ai/johannesg98/warehouse_8x6_ag200
wandb: 🚀 View run at https://wandb.ai/johannesg98/warehouse_8x6_ag200/runs/kzhwiotv

  0%|          | 0/10000 [00:00<?, ?it/s]
Episode 1 | Reward: 256000.00 | NumTasksFinishe: 205.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 0/10000 [00:15<?, ?it/s]/mnt/home/jgaber/miniconda3/envs/myenv/lib/python3.12/site-packages/numpy/core/fromnumeric.py:3504: RuntimeWarning: Mean of empty slice.
  return _methods._mean(a, axis=axis, dtype=dtype,
/mnt/home/jgaber/miniconda3/envs/myenv/lib/python3.12/site-packages/numpy/core/_methods.py:129: RuntimeWarning: invalid value encountered in scalar divide
  ret = ret.dtype.type(ret / rcount)

Episode 1 | Reward: 256000.00 | NumTasksFinishe: 205.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 1/10000 [00:15<42:00:42, 15.13s/it]
Episode 2 | Reward: 278000.00 | NumTasksFinishe: 224.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 1/10000 [00:29<42:00:42, 15.13s/it]
Episode 2 | Reward: 278000.00 | NumTasksFinishe: 224.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 2/10000 [00:29<41:16:01, 14.86s/it]
Episode 3 | Reward: 244000.00 | NumTasksFinishe: 237.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 2/10000 [00:45<41:16:01, 14.86s/it]
Episode 3 | Reward: 244000.00 | NumTasksFinishe: 237.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 3/10000 [00:45<41:59:51, 15.12s/it]
Episode 4 | Reward: 218000.00 | NumTasksFinishe: 218.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 3/10000 [01:00<41:59:51, 15.12s/it]
Episode 4 | Reward: 218000.00 | NumTasksFinishe: 218.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 4/10000 [01:00<42:12:25, 15.20s/it]
Episode 5 | Reward: 270000.00 | NumTasksFinishe: 222.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 4/10000 [01:15<42:12:25, 15.20s/it]
Episode 5 | Reward: 270000.00 | NumTasksFinishe: 222.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 5/10000 [01:15<41:55:05, 15.10s/it]
Episode 6 | Reward: 256000.00 | NumTasksFinishe: 234.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 5/10000 [01:30<41:55:05, 15.10s/it]
Episode 6 | Reward: 256000.00 | NumTasksFinishe: 234.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 6/10000 [01:50<60:34:17, 21.82s/it]
Episode 7 | Reward: 186000.00 | NumTasksFinishe: 214.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 6/10000 [02:05<60:34:17, 21.82s/it]
Episode 7 | Reward: 186000.00 | NumTasksFinishe: 214.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 7/10000 [02:05<54:54:11, 19.78s/it]
Episode 8 | Reward: 230000.00 | NumTasksFinishe: 195.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 7/10000 [02:21<54:54:11, 19.78s/it]
Episode 8 | Reward: 230000.00 | NumTasksFinishe: 195.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 8/10000 [02:21<50:52:55, 18.33s/it]
Episode 9 | Reward: 190000.00 | NumTasksFinishe: 208.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 8/10000 [02:36<50:52:55, 18.33s/it]
Episode 9 | Reward: 190000.00 | NumTasksFinishe: 208.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 9/10000 [02:36<48:26:42, 17.46s/it]
Episode 10 | Reward: 250000.00 | NumTasksFinishe: 226.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 9/10000 [02:52<48:26:42, 17.46s/it]
Episode 10 | Reward: 250000.00 | NumTasksFinishe: 226.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 10/10000 [02:52<46:44:18, 16.84s/it]
Episode 11 | Reward: 284000.00 | NumTasksFinishe: 233.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 10/10000 [03:07<46:44:18, 16.84s/it]
Episode 11 | Reward: 284000.00 | NumTasksFinishe: 233.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 11/10000 [03:07<45:49:28, 16.52s/it]
Episode 12 | Reward: 242000.00 | NumTasksFinishe: 226.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 11/10000 [03:35<45:49:28, 16.52s/it]
Episode 12 | Reward: 242000.00 | NumTasksFinishe: 226.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 12/10000 [03:35<55:11:02, 19.89s/it]
Episode 13 | Reward: 258000.00 | NumTasksFinishe: 223.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 12/10000 [04:03<55:11:02, 19.89s/it]
Episode 13 | Reward: 258000.00 | NumTasksFinishe: 223.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 13/10000 [04:03<61:41:46, 22.24s/it]
Episode 14 | Reward: 282000.00 | NumTasksFinishe: 222.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 13/10000 [04:30<61:41:46, 22.24s/it]
Episode 14 | Reward: 282000.00 | NumTasksFinishe: 222.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 14/10000 [04:30<65:53:02, 23.75s/it]
Episode 15 | Reward: 218000.00 | NumTasksFinishe: 248.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 14/10000 [04:58<65:53:02, 23.75s/it]
Episode 15 | Reward: 218000.00 | NumTasksFinishe: 248.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 15/10000 [04:58<69:25:05, 25.03s/it]
Episode 16 | Reward: 216000.00 | NumTasksFinishe: 216.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 15/10000 [05:26<69:25:05, 25.03s/it]
Episode 16 | Reward: 216000.00 | NumTasksFinishe: 216.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 16/10000 [05:26<71:49:47, 25.90s/it]
Episode 17 | Reward: 232000.00 | NumTasksFinishe: 225.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 16/10000 [05:54<71:49:47, 25.90s/it]
Episode 17 | Reward: 232000.00 | NumTasksFinishe: 225.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 17/10000 [05:54<73:23:22, 26.47s/it]
Episode 18 | Reward: 252000.00 | NumTasksFinishe: 197.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 17/10000 [06:21<73:23:22, 26.47s/it]
Episode 18 | Reward: 252000.00 | NumTasksFinishe: 197.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 18/10000 [06:21<74:19:23, 26.80s/it]
Episode 19 | Reward: 272000.00 | NumTasksFinishe: 223.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 18/10000 [06:49<74:19:23, 26.80s/it]
Episode 19 | Reward: 272000.00 | NumTasksFinishe: 223.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 19/10000 [06:49<75:29:01, 27.23s/it]
Episode 20 | Reward: 302000.00 | NumTasksFinishe: 247.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 19/10000 [07:18<75:29:01, 27.23s/it]
Episode 20 | Reward: 302000.00 | NumTasksFinishe: 247.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 20/10000 [07:18<76:15:50, 27.51s/it]
Episode 21 | Reward: 206000.00 | NumTasksFinishe: 222.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 20/10000 [07:46<76:15:50, 27.51s/it]
Episode 21 | Reward: 206000.00 | NumTasksFinishe: 222.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 21/10000 [07:46<76:37:42, 27.64s/it]
Episode 22 | Reward: 282000.00 | NumTasksFinishe: 228.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 21/10000 [08:13<76:37:42, 27.64s/it]
Episode 22 | Reward: 282000.00 | NumTasksFinishe: 228.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 22/10000 [08:14<76:54:44, 27.75s/it]
Episode 23 | Reward: 222000.00 | NumTasksFinishe: 222.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 22/10000 [08:41<76:54:44, 27.75s/it]
Episode 23 | Reward: 222000.00 | NumTasksFinishe: 222.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 23/10000 [08:41<76:46:24, 27.70s/it]
Episode 24 | Reward: 304000.00 | NumTasksFinishe: 225.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 23/10000 [09:09<76:46:24, 27.70s/it]
Episode 24 | Reward: 304000.00 | NumTasksFinishe: 225.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 24/10000 [09:09<77:01:27, 27.80s/it]
Episode 25 | Reward: 228000.00 | NumTasksFinishe: 249.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 24/10000 [09:38<77:01:27, 27.80s/it]
Episode 25 | Reward: 228000.00 | NumTasksFinishe: 249.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 25/10000 [09:38<77:41:38, 28.04s/it]
Episode 26 | Reward: 268000.00 | NumTasksFinishe: 233.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 25/10000 [10:07<77:41:38, 28.04s/it]
Episode 26 | Reward: 268000.00 | NumTasksFinishe: 233.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 26/10000 [10:32<99:28:48, 35.91s/it]
Episode 27 | Reward: 290000.00 | NumTasksFinishe: 237.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 26/10000 [11:01<99:28:48, 35.91s/it]
Episode 27 | Reward: 290000.00 | NumTasksFinishe: 237.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 27/10000 [11:01<93:23:16, 33.71s/it]
Episode 28 | Reward: 244000.00 | NumTasksFinishe: 222.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 27/10000 [11:29<93:23:16, 33.71s/it]
Episode 28 | Reward: 244000.00 | NumTasksFinishe: 222.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 28/10000 [11:29<89:21:23, 32.26s/it]
Episode 29 | Reward: 244000.00 | NumTasksFinishe: 227.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 28/10000 [11:58<89:21:23, 32.26s/it]
Episode 29 | Reward: 244000.00 | NumTasksFinishe: 227.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 29/10000 [11:58<86:09:19, 31.11s/it]
Episode 30 | Reward: 250000.00 | NumTasksFinishe: 235.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 29/10000 [12:26<86:09:19, 31.11s/it]
Episode 30 | Reward: 250000.00 | NumTasksFinishe: 235.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 30/10000 [12:26<83:39:23, 30.21s/it]
Episode 31 | Reward: 272000.00 | NumTasksFinishe: 232.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 30/10000 [12:54<83:39:23, 30.21s/it]
Episode 31 | Reward: 272000.00 | NumTasksFinishe: 232.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 31/10000 [12:54<82:05:20, 29.64s/it]
